participant_id,trial_number,tau
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0.6666666666666669
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1.0
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,1.0
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,-0.3333333333333334
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,0.3333333333333334
1488dded-1f11-467f-bb52-1cf1e7b2e6c4,8,0.6666666666666669
19d9e602-d55d-43aa-88db-1dbf140562e7,2,0.6666666666666669
19d9e602-d55d-43aa-88db-1dbf140562e7,3,0.3333333333333334
19d9e602-d55d-43aa-88db-1dbf140562e7,4,0.6666666666666669
19d9e602-d55d-43aa-88db-1dbf140562e7,5,1.0
19d9e602-d55d-43aa-88db-1dbf140562e7,6,1.0
6cfe1857-9989-4472-a247-3f7b48b90b6f,1,1.0
6cfe1857-9989-4472-a247-3f7b48b90b6f,2,0.3333333333333334
6cfe1857-9989-4472-a247-3f7b48b90b6f,3,1.0
6cfe1857-9989-4472-a247-3f7b48b90b6f,4,1.0
6cfe1857-9989-4472-a247-3f7b48b90b6f,5,1.0
6cfe1857-9989-4472-a247-3f7b48b90b6f,8,1.0
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,1,1.0
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,3,0.3333333333333334
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,4,0.0
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,5,0.3333333333333334
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,6,0.6666666666666669
766d6cd3-b25f-492b-8b48-d68e2b8c5f5a,8,1.0
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,1,0.0
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,2,0.6666666666666669
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,3,0.3333333333333334
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,4,0.6666666666666669
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,5,0.3333333333333334
7d4e6772-7b8a-4b0b-b9c4-28308ee62204,6,0.3333333333333334
7f4e4edb-e140-4d73-a296-80d237dd0b7f,2,0.6666666666666669
7f4e4edb-e140-4d73-a296-80d237dd0b7f,3,0.3333333333333334
7f4e4edb-e140-4d73-a296-80d237dd0b7f,4,0.3333333333333334
7f4e4edb-e140-4d73-a296-80d237dd0b7f,5,0.3333333333333334
7f4e4edb-e140-4d73-a296-80d237dd0b7f,6,-0.3333333333333334
7f4e4edb-e140-4d73-a296-80d237dd0b7f,7,-0.6666666666666669
865d8d60-a54a-4245-b568-cefc74bc55d5,1,0.6666666666666669
865d8d60-a54a-4245-b568-cefc74bc55d5,2,1.0
865d8d60-a54a-4245-b568-cefc74bc55d5,3,0.3333333333333334
865d8d60-a54a-4245-b568-cefc74bc55d5,4,1.0
865d8d60-a54a-4245-b568-cefc74bc55d5,5,0.3333333333333334
865d8d60-a54a-4245-b568-cefc74bc55d5,8,1.0
90e130dd-0bf6-4924-ad02-a98ef2cf2bd6,2,0.6666666666666669
90e130dd-0bf6-4924-ad02-a98ef2cf2bd6,3,0.3333333333333334
90e130dd-0bf6-4924-ad02-a98ef2cf2bd6,4,1.0
90e130dd-0bf6-4924-ad02-a98ef2cf2bd6,5,1.0
